07:55:01 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`secondary_login` fields ( error ) values (0) on conditions username = gine001 AND company_id = 6
07:55:01 gine001 Gilad Nevo INSERTING data into tables `log_login` fields ( username, ip, browser ) values ( gine001, 122.161.155.63, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/88.0.4324.146 Safari/537.36 ) => {inserted_id = 15476}
07:55:02 gine001 Gilad Nevo DELETE data from tables `temp_session` on conditions username LIKE gine001
07:55:02 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`login` fields ( login, last_time ) values (1, 2021-02-05 07:55:02) on conditions username = gine001
07:55:02 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`secondary_login` fields ( last_login_time ) values (2021-02-05 07:55:02) on conditions username = gine001 AND company_id = 6
07:55:07 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`ws_sessions` fields ( user_id ) values (gine001) on conditions session_id = jrt991mauk1s44bb48d04mklu2
07:55:36 gine001 Gilad Nevo UPDATING data to tables `employee` fields ( language ) values (en) on conditions username = gine001
07:56:33 dodo001 Admin Cirrus UPDATING data to tables `time2vie_cirruscommon`.`secondary_login` fields ( error ) values (0) on conditions username = dodo001 AND company_id = 6
07:56:33 dodo001 Admin Cirrus INSERTING data into tables `log_login` fields ( username, ip, browser ) values ( dodo001, 122.161.155.63, Time2View/1 CFNetwork/1209 Darwin/20.2.0 ) => {inserted_id = 15477}
07:56:33 dodo001 Admin Cirrus DELETE data from tables `temp_session` on conditions username LIKE dodo001
07:56:33 dodo001 Admin Cirrus UPDATING data to tables `time2vie_cirruscommon`.`login` fields ( login, last_time ) values (1, 2021-02-05 07:56:33) on conditions username = dodo001
07:56:33 dodo001 Admin Cirrus UPDATING data to tables `time2vie_cirruscommon`.`secondary_login` fields ( last_login_time ) values (2021-02-05 07:56:33) on conditions username = dodo001 AND company_id = 6
08:28:01 dodo001 Admin Cirrus UPDATING data to tables `time2vie_cirruscommon`.`secondary_login` fields ( error ) values (0) on conditions username = dodo001 AND company_id = 6
08:28:01 dodo001 Admin Cirrus INSERTING data into tables `log_login` fields ( username, ip, browser ) values ( dodo001, 122.161.155.63, Time2View/1 CFNetwork/1209 Darwin/20.2.0 ) => {inserted_id = 15478}
08:28:01 dodo001 Admin Cirrus DELETE data from tables `temp_session` on conditions username LIKE dodo001
08:28:01 dodo001 Admin Cirrus UPDATING data to tables `time2vie_cirruscommon`.`login` fields ( login, last_time ) values (1, 2021-02-05 08:28:01) on conditions username = dodo001
08:28:01 dodo001 Admin Cirrus UPDATING data to tables `time2vie_cirruscommon`.`secondary_login` fields ( last_login_time ) values (2021-02-05 08:28:01) on conditions username = dodo001 AND company_id = 6
08:50:55 dodo001 Admin Cirrus UPDATING data to tables `time2vie_cirruscommon`.`secondary_login` fields ( error ) values (0) on conditions username = dodo001 AND company_id = 6
08:50:55 dodo001 Admin Cirrus INSERTING data into tables `log_login` fields ( username, ip, browser ) values ( dodo001, 122.161.155.63, Time2View/1 CFNetwork/1209 Darwin/20.2.0 ) => {inserted_id = 15479}
08:50:55 dodo001 Admin Cirrus DELETE data from tables `temp_session` on conditions username LIKE dodo001
08:50:55 dodo001 Admin Cirrus UPDATING data to tables `time2vie_cirruscommon`.`login` fields ( login, last_time ) values (1, 2021-02-05 08:50:55) on conditions username = dodo001
08:50:55 dodo001 Admin Cirrus UPDATING data to tables `time2vie_cirruscommon`.`secondary_login` fields ( last_login_time ) values (2021-02-05 08:50:55) on conditions username = dodo001 AND company_id = 6
15:00:40 gine001 Gilad Nevo INSERTING data into tables `log_login` fields ( username, ip, browser ) values ( gine001, 185.176.246.87, Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:85.0) Gecko/20100101 Firefox/85.0 ) => {inserted_id = 15480}
15:00:40 gine001 Gilad Nevo DELETE data from tables `temp_session` on conditions username LIKE gine001
15:00:40 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`login` fields ( login, last_time ) values (1, 2021-02-05 15:00:40) on conditions username = gine001
15:00:40 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`secondary_login` fields ( last_login_time ) values (2021-02-05 15:00:40) on conditions username = gine001 AND company_id = 6
15:00:41 gine001 Gilad Nevo UPDATING data to tables `time2vie_cirruscommon`.`ws_sessions` fields ( user_id ) values (gine001) on conditions session_id = nlruc3np4sm4dp32mp823v9vs2
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-12-01, 12, 13, 0, , gine001,  ) => {inserted_id = 18499}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-12-02, 12, 13, 0, , gine001,  ) => {inserted_id = 18500}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-12-03, 12, 13, 0, , gine001,  ) => {inserted_id = 18501}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-12-04, 12, 13, 0, , gine001,  ) => {inserted_id = 18502}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-12-05, 12, 13, 0, , gine001,  ) => {inserted_id = 18503}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-12-06, 12, 13, 0, , gine001,  ) => {inserted_id = 18504}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-12-07, 12, 13, 0, , gine001,  ) => {inserted_id = 18505}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-12-08, 12, 13, 0, , gine001,  ) => {inserted_id = 18506}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-12-09, 12, 13, 0, , gine001,  ) => {inserted_id = 18507}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-12-10, 12, 13, 0, , gine001,  ) => {inserted_id = 18508}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-12-11, 12, 13, 0, , gine001,  ) => {inserted_id = 18509}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-12-12, 12, 13, 0, , gine001,  ) => {inserted_id = 18510}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-12-13, 12, 13, 0, , gine001,  ) => {inserted_id = 18511}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-12-14, 12, 13, 0, , gine001,  ) => {inserted_id = 18512}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-12-15, 12, 13, 0, , gine001,  ) => {inserted_id = 18513}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-12-16, 12, 13, 0, , gine001,  ) => {inserted_id = 18514}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-12-17, 12, 13, 0, , gine001,  ) => {inserted_id = 18515}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-12-18, 12, 13, 0, , gine001,  ) => {inserted_id = 18516}
15:01:24 gine001 Gilad Nevo INSERTING data into tables `timetable` fields ( employee, customer, fkkn, type, date, time_from, time_to, status, created_status, alloc_emp, comment ) values ( , anst007, 1, 0, 2020-12-19, 12, 13, 0, , gine001,  ) => {inserted_id = 18517}
